rank,finalWorth,category,personName,age,country,source,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country
397,6400,Finance & Investments,Luis Carlos Sarmiento,90,Colombia,Banking,Finance & Investments,D,M,1/27/1933 0:00,"$323,802,808,108.00",77.1,71.2
397,6400,Logistics,Dennis Washington,88,United States,"Construction, mining",Logistics,D,M,7/27/1934 0:00,"$21,427,700,000,000.00",78.5,36.6
405,6300,Construction & Engineering,Anthony Bamford & family,77,United Kingdom,Construction equipment,Construction & Engineering,U,M,10/23/1945 0:00,"$2,827,113,184,696.00",81.3,30.6
405,6300,Energy,Gao Jifan & family,58,China,Solar equipment,Energy,D,M,1/1/1965 0:00,"$19,910,000,000,000.00",77,59.2
405,6300,Finance & Investments,John Grayken,66,United Kingdom,Private equity,Finance & Investments,D,M,6/1/1956 0:00,"$2,827,113,184,696.00",81.3,30.6
405,6300,Healthcare,Alain Merieux & family,85,France,Pharmaceuticals,Healthcare,D,M,1/1/1938 0:00,"$2,715,518,274,227.00",82.5,60.7
405,6300,Energy,Wang Yusuo & family,59,China,Natural gas distribution,Energy,U,M,3/11/1964 0:00,"$19,910,000,000,000.00",77,59.2
405,6300,Manufacturing,Stef Wertheimer & family,96,Israel,Metalworking tools,Manufacturing,U,M,7/16/1926 0:00,"$395,098,666,122.00",82.8,25.3
411,6200,Food & Beverage,Maria Asuncion Aramburuzabala & family,59,Mexico,"Beer, investments",Food & Beverage,E,F,5/2/1963 0:00,"$1,258,286,717,125.00",75,55.1
411,6200,Diversified,Gustaf Douglas,85,Sweden,Investments,Diversified,D,M,3/3/1938 0:00,"$530,832,908,738.00",82.5,49.1
411,6200,Service,Frits Goldschmeding,89,Netherlands,Temp agency,Service,U,M,8/2/1933 0:00,"$909,070,395,161.00",81.8,41.2
411,6200,Food & Beverage,Lin Muqin & family,59,China,Beverages,Food & Beverage,U,M,1/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
411,6200,Manufacturing,Ruan Liping,59,China,Power strips,Manufacturing,U,M,1/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
411,6200,Manufacturing,Ruan Xueping,51,China,Power strip,Manufacturing,U,M,1/1/1972 0:00,"$19,910,000,000,000.00",77,59.2
411,6200,Finance & Investments,Michal Solowow,60,Poland,Investments,Finance & Investments,E,M,7/11/1962 0:00,"$592,164,400,688.00",77.6,40.8
418,6100,Diversified,Mike Adenuga,69,Nigeria,"Telecom, oil",Diversified,D,M,4/29/1953 0:00,"$448,120,428,859.00",54.3,34.8
418,6100,Finance & Investments,Tom Gores,58,United States,Private equity,Finance & Investments,U,M,7/31/1964 0:00,"$21,427,700,000,000.00",78.5,36.6
418,6100,Fashion & Retail,Michael Herz,79,Germany,Coffee,Fashion & Retail,U,M,9/28/1943 0:00,"$3,845,630,030,824.00",80.9,48.8
418,6100,Fashion & Retail,Wolfgang Herz,72,Germany,Coffee,Fashion & Retail,U,M,1/1/1951 0:00,"$3,845,630,030,824.00",80.9,48.8
418,6100,Energy,Michael Kadoorie,81,Hong Kong,"Hotels, energy",Energy,D,M,7/19/1941 0:00,,,
418,6100,Telecom,Sunil Mittal,65,,Telecom,Telecom,Split Family Fortune,M,10/23/1957 0:00,,,
418,6100,Technology,Zhou Qunfei,53,Hong Kong,Smartphone screens,Technology,D,F,,,,
425,6000,Metals & Mining,Alexander Abramov,64,Russia,"Steel, mining",Metals & Mining,U,M,2/20/1959 0:00,"$1,699,876,578,871.00",72.7,46.2
425,6000,Real Estate,Rene Benko,46,Austria,"Real estate, retail",Real Estate,U,M,3/20/1977 0:00,"$446,314,739,528.00",81.6,51.4
425,6000,Real Estate,Neil Bluhm,85,United States,Real estate,Real Estate,U,M,1/12/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
425,6000,Fashion & Retail,Alain Bouchard,74,Canada,Convinience stores,Fashion & Retail,U,M,2/18/1949 0:00,"$1,736,425,629,520.00",81.9,24.5
425,6000,Technology,Jay Chaudhry,63,United States,Security software,Technology,D,M,8/26/1959 0:00,"$21,427,700,000,000.00",78.5,36.6
425,6000,Fashion & Retail,Gopikishan Damani,65,India,"Retail, investments",Fashion & Retail,D,M,1/1/1958 0:00,"$2,611,000,000,000.00",69.4,49.7
425,6000,Diversified,Sumet Jiaravanon,88,Thailand,Diversified,Diversified,U,M,11/2/1934 0:00,"$543,649,976,166.00",76.9,29.5
425,6000,Finance & Investments,Joe Lewis,86,Bahamas,Investments,Finance & Investments,U,M,2/5/1937 0:00,,,
425,6000,Finance & Investments,Frank Lowy,92,Israel,Investments,Finance & Investments,D,M,10/22/1930 0:00,"$395,098,666,122.00",82.8,25.3
425,6000,Finance & Investments,Michael Milken,76,United States,Investments,Finance & Investments,U,M,7/4/1946 0:00,"$21,427,700,000,000.00",78.5,36.6
425,6000,Technology,David Steward,71,United States,IT provider,Technology,U,M,7/2/1951 0:00,"$21,427,700,000,000.00",78.5,36.6
425,6000,Fashion & Retail,Les Wexner & family,85,United States,Retail,Fashion & Retail,U,M,9/8/1937 0:00,"$21,427,700,000,000.00",78.5,36.6
437,5900,Real Estate,Cai Kui,60,China,Real estate,Real Estate,D,M,1/1/1963 0:00,"$19,910,000,000,000.00",77,59.2
437,5900,Diversified,Jaran Chiaravanont,93,Thailand,Diversified,Diversified,U,M,4/1/1930 0:00,"$543,649,976,166.00",76.9,29.5
437,5900,Finance & Investments,Andreas Halvorsen,61,United States,Hedge funds,Finance & Investments,D,M,4/23/1961 0:00,"$21,427,700,000,000.00",78.5,36.6
437,5900,Finance & Investments,Antony Ressler,62,United States,Finance,Finance & Investments,U,M,10/12/1960 0:00,"$21,427,700,000,000.00",78.5,36.6
437,5900,Food & Beverage,Tsai Eng-meng,66,China,"Food, beverages",Food & Beverage,D,M,1/15/1957 0:00,"$19,910,000,000,000.00",77,59.2
442,5800,Finance & Investments,Josh Harris,58,United States,Private equity,Finance & Investments,E,M,12/29/1964 0:00,"$21,427,700,000,000.00",78.5,36.6
442,5800,Healthcare,Niels Peter Louis-Hansen,75,Denmark,Medical devices,Healthcare,D,M,10/25/1947 0:00,"$348,078,018,464.00",81,23.8
442,5800,Healthcare,Patrick Soon-Shiong,70,United States,Pharmaceuticals,Healthcare,D,M,7/29/1952 0:00,"$21,427,700,000,000.00",78.5,36.6
445,5700,Metals & Mining,Rinat Akhmetov,56,Ukraine,"Steel, coal",Metals & Mining,U,M,9/21/1966 0:00,"$153,781,069,118.00",71.6,45.2
445,5700,Healthcare,John Brown,88,United States,Medical equipment,Healthcare,U,M,9/15/1934 0:00,"$21,427,700,000,000.00",78.5,36.6
445,5700,Media & Entertainment,Clive Calder,76,Cayman Islands,Record label,Media & Entertainment,E,M,12/13/1946 0:00,,,
445,5700,Energy,Arthur Irving,93,Canada,Oil,Energy,U,M,1/1/1930 0:00,"$1,736,425,629,520.00",81.9,24.5
445,5700,Real Estate,Fredrik Lundberg,71,Sweden,"Real estate, investments",Real Estate,D,M,8/5/1951 0:00,"$530,832,908,738.00",82.5,49.1
445,5700,Construction & Engineering,Thomas Schmidheiny,77,Switzerland,Cement,Construction & Engineering,U,M,12/17/1945 0:00,"$703,082,435,360.00",83.6,28.8
445,5700,Logistics,Helmut Sohmen,83,Hong Kong,Shipping,Logistics,U,M,12/10/1939 0:00,,,
445,5700,Finance & Investments,Daniel Ziff,51,United States,Investments,Finance & Investments,U,M,11/2/1971 0:00,"$21,427,700,000,000.00",78.5,36.6
445,5700,Finance & Investments,Dirk Ziff,59,United States,Investments,Finance & Investments,U,M,4/1/1964 0:00,"$21,427,700,000,000.00",78.5,36.6
445,5700,Finance & Investments,Robert Ziff,56,United States,Investments,Finance & Investments,U,M,8/12/1966 0:00,"$21,427,700,000,000.00",78.5,36.6
455,5600,Logistics,Maria Angelicoussis,41,Greece,Shipping,Logistics,N,F,2/18/1982 0:00,"$209,852,761,469.00",81.3,51.9
455,5600,Energy,Ray Lee Hunt,79,United States,"Oil, real estate",Energy,D,M,4/6/1943 0:00,"$21,427,700,000,000.00",78.5,36.6
455,5600,Logistics,Lai Meisong,52,China,Package delivery,Logistics,U,M,12/1/1970 0:00,"$19,910,000,000,000.00",77,59.2
455,5600,Automotive,Vikram Lal & family,81,India,Motorcycles,Automotive,U,M,3/5/1942 0:00,"$2,611,000,000,000.00",69.4,49.7
455,5600,Finance & Investments,Ken Langone,87,United States,Investments,Finance & Investments,D,M,9/16/1935 0:00,"$21,427,700,000,000.00",78.5,36.6
455,5600,Healthcare,Li Ge,56,China,Pharmaceutical ingredients,Healthcare,Split Family Fortune,M,1/1/1967 0:00,"$19,910,000,000,000.00",77,59.2
455,5600,Finance & Investments,Karen Pritzker,65,United States,"Hotels, investments",Finance & Investments,D,F,1/7/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
455,5600,Service,Robert Rowling,69,United States,"Hotels, investments",Service,U,M,9/26/1953 0:00,"$21,427,700,000,000.00",78.5,36.6
455,5600,Gambling & Casinos,Teddy Sagi,51,Israel,Gambling software,Gambling & Casinos,E,M,11/1/1971 0:00,"$395,098,666,122.00",82.8,25.3
455,5600,Healthcare,Seo Jung-jin,65,South Korea,Biotech,Healthcare,D,M,10/23/1957 0:00,"$2,029,000,000,000.00",82.6,33.2
455,5600,Automotive,Wu Jianshu,59,China,Auto parts,Automotive,D,M,1/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
466,5500,Service,Micky Arison,73,United States,Carnival Cruises,Service,D,M,6/29/1949 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Media & Entertainment,James Chambers,65,United States,"Media, automotive",Media & Entertainment,U,M,4/12/1957 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Technology,Pierre Chen,66,Taiwan,Electronics,Technology,U,M,9/28/1956 0:00,,,
466,5500,Technology,John Collison,32,United States,Payments software,Technology,D,M,8/6/1990 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Technology,Patrick Collison,34,United States,Payment software,Technology,D,M,9/9/1988 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Manufacturing,Archie Aldis Emmerson & family,93,United States,"Timberland, lumber mills",Manufacturing,U,M,4/10/1929 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Automotive,Piero Ferrari,77,Italy,Automobiles,Automotive,U,M,5/22/1945 0:00,"$2,001,244,392,042.00",82.9,59.1
466,5500,Automotive,Dan Friedkin,58,United States,Toyota dealerships,Automotive,U,M,2/27/1965 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Diversified,James Irving,95,Canada,Diversified,Diversified,U,M,3/20/1928 0:00,"$1,736,425,629,520.00",81.9,24.5
466,5500,Manufacturing,Jiang Weiping & family,68,China,Chemicals,Manufacturing,D,M,3/1/1955 0:00,"$19,910,000,000,000.00",77,59.2
466,5500,Healthcare,Wolfgang Marguerre & family,81,Germany,Pharmaceuticals,Healthcare,U,M,6/4/1941 0:00,"$3,845,630,030,824.00",80.9,48.8
466,5500,Finance & Investments,Ludwig Merckle,58,Germany,Pharmaceuticals,Finance & Investments,D,M,1/1/1965 0:00,"$3,845,630,030,824.00",80.9,48.8
466,5500,Manufacturing,Mitchell Rales,66,United States,"Manufacturing, investments",Manufacturing,D,M,8/21/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Media & Entertainment,Katharine Rayner,78,United States,"Media, automotive",Media & Entertainment,U,F,1/12/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Finance & Investments,Jean Salata,57,Hong Kong,Finance,Finance & Investments,U,M,12/1/1965 0:00,,,
466,5500,Finance & Investments,Paul Singer,78,United States,Hedge funds,Finance & Investments,U,M,8/22/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Healthcare,Sergio Stevanato & family,80,Italy,Medical packaging,Healthcare,U,M,3/20/1943 0:00,"$2,001,244,392,042.00",82.9,59.1
466,5500,Media & Entertainment,Margaretta Taylor,80,United States,"Media, automotive",Media & Entertainment,U,F,4/15/1942 0:00,"$21,427,700,000,000.00",78.5,36.6
466,5500,Technology,Richard White,68,Australia,Software,Technology,U,M,4/1/1955 0:00,"$1,392,680,589,329.00",82.7,47.4
466,5500,Diversified,Zhao Yan,56,China,Biotech,Diversified,D,F,1/1/1967 0:00,"$19,910,000,000,000.00",77,59.2
486,5400,Fashion & Retail,Patrizio Bertelli,77,Italy,Luxury goods,Fashion & Retail,U,M,1/1/1946 0:00,"$2,001,244,392,042.00",82.9,59.1
486,5400,Manufacturing,Mahendra Choksi & family,81,India,Paints,Manufacturing,D,M,4/19/1941 0:00,"$2,611,000,000,000.00",69.4,49.7
486,5400,Finance & Investments,Mat Ishbia,43,United States,Mortgage lender,Finance & Investments,U,M,1/6/1980 0:00,"$21,427,700,000,000.00",78.5,36.6
486,5400,Technology,Leo Koguan,68,Singapore,IT provider,Technology,D,M,2/15/1955 0:00,"$372,062,527,489.00",83.1,21
486,5400,Diversified,Miao Hangen,58,China,"Textiles, petrochemicals",Diversified,D,M,1/1/1965 0:00,"$19,910,000,000,000.00",77,59.2
486,5400,Manufacturing,Michael Pieper,77,Switzerland,Kitchen appliances,Manufacturing,U,M,2/5/1946 0:00,"$703,082,435,360.00",83.6,28.8
486,5400,Fashion & Retail,Miuccia Prada,73,Italy,Luxury goods,Fashion & Retail,U,F,5/10/1949 0:00,"$2,001,244,392,042.00",82.9,59.1
486,5400,Fashion & Retail,Wolfgang Reimann,70,Germany,Consumer goods,Fashion & Retail,D,M,10/4/1952 0:00,"$3,845,630,030,824.00",80.9,48.8
486,5400,Fashion & Retail,Matthias Reimann-Andersen,58,Germany,Consumer goods,Fashion & Retail,D,M,3/30/1965 0:00,"$3,845,630,030,824.00",80.9,48.8
486,5400,Fashion & Retail,Stefan Reimann-Andersen,59,Austria,Consumer goods,Fashion & Retail,D,M,7/13/1963 0:00,"$446,314,739,528.00",81.6,51.4
486,5400,Fashion & Retail,Renate Reimann-Haas,71,Austria,Consumer goods,Fashion & Retail,D,F,10/8/1951 0:00,"$446,314,739,528.00",81.6,51.4
497,5300,Finance & Investments,Todd Boehly,49,United States,Finance,Finance & Investments,U,M,9/20/1973 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Real Estate,Rick Caruso,64,United States,Real estate,Real Estate,U,M,1/7/1959 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Manufacturing,Ibrahim Erdemoglu,60,Turkey,Carpet,Manufacturing,U,M,9/26/1962 0:00,"$754,411,708,203.00",77.4,42.3
497,5300,Finance & Investments,Elizabeth Johnson,59,United States,Fidelity,Finance & Investments,U,F,5/7/1963 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Finance & Investments,Douglas Leone,65,United States,Venture capital,Finance & Investments,D,M,7/4/1957 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Diversified,Prajogo Pangestu,78,Indonesia,Petrochemicals,Diversified,D,M,5/13/1944 0:00,"$1,119,190,780,753.00",71.5,30.1
497,5300,Finance & Investments,Thomas Pritzker,72,United States,"Hotels, investments",Finance & Investments,U,M,6/6/1950 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Food & Beverage,Lynda Resnick,80,United States,Agriculture,Food & Beverage,Split Family Fortune,F,1/2/1943 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Food & Beverage,Stewart Resnick,86,United States,Agriculture,Food & Beverage,Split Family Fortune,M,12/24/1936 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Service,Gary Rollins,78,United States,Pest control,Service,E,M,8/30/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Finance & Investments,Mark Walter,62,United States,"Finance, asset management",Finance & Investments,U,M,5/22/1960 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Manufacturing,Ronald Wanek,81,United States,Furniture,Manufacturing,D,M,5/19/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
497,5300,Food & Beverage,Erich Wesjohann & family,77,Germany,Poultry genetics,Food & Beverage,D,M,6/2/1945 0:00,"$3,845,630,030,824.00",80.9,48.8
497,5300,Fashion & Retail,M.A. Yusuff Ali,67,United Arab Emirates,Retail,Fashion & Retail,D,M,11/15/1955 0:00,"$421,142,267,938.00",77.8,15.9
511,5200,Finance & Investments,Alexandre Behring,56,United States,Investments,Finance & Investments,U,M,2/20/1967 0:00,"$21,427,700,000,000.00",78.5,36.6
511,5200,Food & Beverage,Cheng Xue,53,China,Soy sauce,Food & Beverage,D,F,2/26/1970 0:00,"$19,910,000,000,000.00",77,59.2
511,5200,Real Estate,Robert Faith,59,United States,Real estate management,Real Estate,N,M,10/3/1963 0:00,"$21,427,700,000,000.00",78.5,36.6
511,5200,Fashion & Retail,Gao Dekang & family,71,China,Apparel,Fashion & Retail,U,M,2/1/1952 0:00,"$19,910,000,000,000.00",77,59.2
511,5200,Fashion & Retail,Micky Jagtiani,71,United Arab Emirates,Retail,Fashion & Retail,U,M,9/28/1951 0:00,"$421,142,267,938.00",77.8,15.9
511,5200,Telecom,Ananda Krishnan,85,Malaysia,"Telecoms, media, oil-services",Telecom,D,M,4/1/1938 0:00,"$364,701,517,788.00",76,38.7
511,5200,Technology,Barry Lam,73,Taiwan,Electronics,Technology,D,M,4/24/1949 0:00,,,
511,5200,Food & Beverage,"Robert Rich, Jr.",82,United States,Frozen foods,Food & Beverage,U,M,1/25/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
511,5200,Gambling & Casinos,Mark Scheinberg,49,United Kingdom,Online gambling,Gambling & Casinos,D,M,12/27/1973 0:00,"$2,827,113,184,696.00",81.3,30.6
511,5200,Technology,Charles Simonyi,74,United States,Microsoft,Technology,D,M,9/10/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
511,5200,Real Estate,Ty Warner,78,United States,"Plush toys, real estate",Real Estate,U,M,9/3/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
511,5200,Real Estate,Sam Zell,81,United States,"Real estate, private equity",Real Estate,D,M,9/28/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
523,5100,Manufacturing,Fang Wei,49,China,Steel,Manufacturing,U,M,9/4/1973 0:00,"$19,910,000,000,000.00",77,59.2
523,5100,Finance & Investments,Rekha Jhunjhunwala,59,India,Investments,Finance & Investments,N,F,9/12/1963 0:00,"$2,611,000,000,000.00",69.4,49.7
523,5100,Finance & Investments,Charles B. Johnson,90,United States,Franklin Templeton,Finance & Investments,E,M,1/6/1933 0:00,"$21,427,700,000,000.00",78.5,36.6
523,5100,Media & Entertainment,Kwon Hyuk-bin,49,South Korea,Online games,Media & Entertainment,D,M,1/1/1974 0:00,"$2,029,000,000,000.00",82.6,33.2
523,5100,Finance & Investments,Sami Mnaymneh,61,United States,Private equity,Finance & Investments,U,M,7/13/1961 0:00,"$21,427,700,000,000.00",78.5,36.6
523,5100,Logistics,Kjell Inge Rokke,64,Norway,"Shipping, seafood",Logistics,D,M,10/25/1958 0:00,"$403,336,363,636.00",82.8,36.2
523,5100,Finance & Investments,Tony Tamer,65,United States,Private equity,Finance & Investments,U,M,10/12/1957 0:00,"$21,427,700,000,000.00",78.5,36.6
523,5100,Healthcare,Tse Ping & family,71,Hong Kong,Pharmaceuticals,Healthcare,D,M,1/3/1952 0:00,,,
523,5100,Technology,Romesh T. Wadhwani,75,United States,Software,Technology,U,M,8/25/1947 0:00,"$21,427,700,000,000.00",78.5,36.6
523,5100,Healthcare,Hansjoerg Wyss,88,United States,Medical devices,Healthcare,U,M,1/1/1935 0:00,"$21,427,700,000,000.00",78.5,36.6
523,5100,Sports,Denise York & family,72,United States,San Francisco 49ers,Sports,U,F,10/21/1950 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Finance & Investments,Ron Baron,79,United States,Money management,Finance & Investments,U,M,5/23/1943 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Energy,Robert Bass,75,United States,"Oil, investments",Energy,D,M,3/19/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Healthcare,Dona Bertarelli,55,Switzerland,Biotech and investments,Healthcare,U,F,1/1/1968 0:00,"$703,082,435,360.00",83.6,28.8
534,5000,Finance & Investments,Alexander Gerko,43,United Kingdom,Trading,Finance & Investments,N,M,12/3/1979 0:00,"$2,827,113,184,696.00",81.3,30.6
534,5000,Technology,Martin Haefner,69,Switzerland,"Software, investments",Technology,U,M,1/1/1954 0:00,"$703,082,435,360.00",83.6,28.8
534,5000,Telecom,"Robert Hale, Jr.",56,United States,Telecom,Telecom,U,M,7/8/1966 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Healthcare,Viktor Kharitonin,50,Russia,Pharmaceuticals,Healthcare,U,M,11/20/1972 0:00,"$1,699,876,578,871.00",72.7,46.2
534,5000,Technology,Kim Beom-su,57,South Korea,Online services,Technology,D,M,3/27/1966 0:00,"$2,029,000,000,000.00",82.6,33.2
534,5000,Fashion & Retail,Jane Lauder,50,United States,Estée Lauder,Fashion & Retail,D,F,1/1/1973 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Fashion & Retail,Michel Leclercq & family,83,France,Sporting goods,Fashion & Retail,U,M,5/27/1939 0:00,"$2,715,518,274,227.00",82.5,60.7
534,5000,Media & Entertainment,George Lucas,78,United States,Star Wars,Media & Entertainment,D,M,5/14/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Sports,Janice McNair,86,United States,"Energy, sports",Sports,U,F,9/30/1936 0:00,"$21,427,700,000,000.00",78.5,36.6
534,5000,Healthcare,Ugur Sahin,57,Germany,Biotechnology,Healthcare,D,M,9/19/1965 0:00,"$3,845,630,030,824.00",80.9,48.8
534,5000,Real Estate,Alexandra Schoerghuber & family,64,Germany,Real estate,Real Estate,U,F,7/24/1958 0:00,"$3,845,630,030,824.00",80.9,48.8
534,5000,Healthcare,Thomas Straumann,59,Switzerland,Dental implants,Healthcare,D,M,7/22/1963 0:00,"$703,082,435,360.00",83.6,28.8
534,5000,Food & Beverage,Murat Ulker,64,Turkey,Food,Food & Beverage,U,M,3/23/1959 0:00,"$754,411,708,203.00",77.4,42.3
534,5000,Fashion & Retail,Chip Wilson,66,Canada,Lululemon,Fashion & Retail,D,M,1/1/1957 0:00,"$1,736,425,629,520.00",81.9,24.5
534,5000,Real Estate,Zhu Yan & family,,China,Real estate,Real Estate,U,F,,"$19,910,000,000,000.00",77,59.2
552,4900,Manufacturing,Jim Davis & family,79,United States,New Balance,Manufacturing,D,M,5/17/1943 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Healthcare,Murali Divi & family,72,India,Pharmaceuticals,Healthcare,D,M,3/17/1951 0:00,"$2,611,000,000,000.00",69.4,49.7
552,4900,Technology,Dagmar Dolby & family,81,United States,Dolby Laboratories,Technology,U,F,6/28/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Technology,Marcos Galperin,,Argentina,E-commerce,Technology,U,M,,"$449,663,446,954.00",76.5,106.3
552,4900,Service,Tom Golisano,81,United States,Payroll services,Service,D,M,11/14/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Finance & Investments,Jonathan Gray,53,United States,Investments,Finance & Investments,D,M,2/4/1970 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Finance & Investments,Bidzina Ivanishvili,67,Georgia,Investments,Finance & Investments,U,M,2/18/1956 0:00,"$17,743,195,770.00",73.6,9.9
552,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,94,Indonesia,"Palm oil, nickel mining",Metals & Mining,U,M,11/1/1928 0:00,"$1,119,190,780,753.00",71.5,30.1
552,4900,Healthcare,Rudolf Maag,77,Switzerland,Medical devices,Healthcare,D,M,1/31/1946 0:00,"$703,082,435,360.00",83.6,28.8
552,4900,Food & Beverage,Emanuele (Lino) Saputo & family,86,Canada,Cheese,Food & Beverage,U,M,1/1/1937 0:00,"$1,736,425,629,520.00",81.9,24.5
552,4900,Automotive,Mark Shoen,72,United States,U-Haul,Automotive,U,M,11/20/1950 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Sports,Dan Snyder,58,United States,Washington Commanders,Sports,U,M,11/23/1964 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Diversified,Chairul Tanjung,60,Indonesia,Diversified,Diversified,D,M,6/18/1962 0:00,"$1,119,190,780,753.00",71.5,30.1
552,4900,Energy,Kelcy Warren,67,United States,Pipelines,Energy,U,M,11/9/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
552,4900,Fashion & Retail,Zhang Tao,50,China,E-commerce,Fashion & Retail,D,M,11/1/1972 0:00,"$19,910,000,000,000.00",77,59.2
567,4800,Fashion & Retail,Michael Ashley,58,United Kingdom,Sports retailing,Fashion & Retail,U,M,9/12/1964 0:00,"$2,827,113,184,696.00",81.3,30.6
567,4800,Fashion & Retail,Tomasz Biernacki,50,Poland,Supermarkets,Fashion & Retail,U,M,1/1/1973 0:00,"$592,164,400,688.00",77.6,40.8
567,4800,Healthcare,Bernard Broermann,79,Germany,Hospitals,Healthcare,U,M,11/22/1943 0:00,"$3,845,630,030,824.00",80.9,48.8
567,4800,Fashion & Retail,Jimmy Haslam,69,United States,"Gas stations, retail",Fashion & Retail,U,M,3/9/1954 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Manufacturing,H. Fisk Johnson,64,United States,Cleaning products,Manufacturing,U,M,5/19/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Manufacturing,S. Curtis Johnson,67,United States,Cleaning products,Manufacturing,U,M,5/5/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Manufacturing,Helen Johnson-Leipold,66,United States,Cleaning products,Manufacturing,U,F,12/30/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Technology,Vinod Khosla,68,United States,Venture capital,Technology,D,M,1/28/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Technology,Thai Lee,64,United States,IT provider,Technology,U,F,11/27/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Manufacturing,Winifred J. Marquart,63,United States,Cleaning products,Manufacturing,U,F,4/6/1959 0:00,"$21,427,700,000,000.00",78.5,36.6
567,4800,Healthcare,Pankaj Patel,70,India,Pharmaceuticals,Healthcare,U,M,3/19/1953 0:00,"$2,611,000,000,000.00",69.4,49.7
567,4800,Manufacturing,Horst Julius Pudwill,78,Hong Kong,Manufacturing,Manufacturing,D,M,10/23/1944 0:00,,,
567,4800,Finance & Investments,Yu Yong,62,China,Mining,Finance & Investments,U,M,2/1/1961 0:00,"$19,910,000,000,000.00",77,59.2
580,4700,Diversified,Maria Fernanda Amorim & family,88,Portugal,"Energy, investments",Diversified,E,F,1/16/1935 0:00,"$237,686,075,635.00",81.3,39.8
580,4700,Sports,Gayle Benson,76,United States,New Orleans Saints,Sports,U,F,1/26/1947 0:00,"$21,427,700,000,000.00",78.5,36.6
580,4700,Technology,Jason Chang,78,Taiwan,Electronics,Technology,U,M,5/1/1944 0:00,,,
580,4700,Manufacturing,Ali Erdemoglu,63,Turkey,Carpet,Manufacturing,U,M,11/20/1959 0:00,"$754,411,708,203.00",77.4,42.3
580,4700,Finance & Investments,Andre Esteves,54,Brazil,Banking,Finance & Investments,D,M,7/12/1968 0:00,"$1,839,758,040,766.00",75.7,65.1
580,4700,Real Estate,Carlo Fidani,68,Canada,Real estate,Real Estate,U,M,1/1/1955 0:00,"$1,736,425,629,520.00",81.9,24.5
580,4700,Technology,Hong Ra-hee,77,South Korea,Samsung,Technology,D,F,7/15/1945 0:00,"$2,029,000,000,000.00",82.6,33.2
580,4700,Manufacturing,Li Gaiteng,50,China,Hair dryers,Manufacturing,U,M,4/8/1972 0:00,"$19,910,000,000,000.00",77,59.2
